Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
M80,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,23,12,0,11,1612,1644,505,0.98
M80,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,55,33,0,22,3820,3611,1150,1.06
M80,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,107,66,0,41,7561,7057,2231,1.07
M80,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,234,155,0,79,16596,14762,4755,1.12
Vitality,Last Month,https://www.hltv.org/stats/teams/9565/vitality?startDate=all&csVersion=CS2,12,8,0,4,844,816,259,1.03
Vitality,Last 3 Months,https://www.hltv.org/stats/teams/9565/vitality?startDate=all&csVersion=CS2,49,40,0,9,3837,3275,1070,1.17
Vitality,Last 6 Months,https://www.hltv.org/stats/teams/9565/vitality?startDate=all&csVersion=CS2,95,80,0,15,7366,6278,2069,1.17
Vitality,Last 12 Months,https://www.hltv.org/stats/teams/9565/vitality?startDate=all&csVersion=CS2,200,149,0,51,15200,13522,4351,1.12
NRG,Last Month,https://www.hltv.org/stats/teams/6673/nrg?startDate=all&csVersion=CS2,16,4,0,12,1086,1265,359,0.86
NRG,Last 3 Months,https://www.hltv.org/stats/teams/6673/nrg?startDate=all&csVersion=CS2,38,14,0,24,2456,2692,776,0.91
NRG,Last 6 Months,https://www.hltv.org/stats/teams/6673/nrg?startDate=all&csVersion=CS2,87,43,0,44,6241,6350,1875,0.98
NRG,Last 12 Months,https://www.hltv.org/stats/teams/6673/nrg?startDate=all&csVersion=CS2,176,102,0,74,12767,12315,3729,1.04
Spirit,Last Month,https://www.hltv.org/stats/teams/7020/spirit?startDate=all&csVersion=CS2,14,13,0,1,1144,901,312,1.27
Spirit,Last 3 Months,https://www.hltv.org/stats/teams/7020/spirit?startDate=all&csVersion=CS2,47,33,0,14,3448,3054,985,1.13
Spirit,Last 6 Months,https://www.hltv.org/stats/teams/7020/spirit?startDate=all&csVersion=CS2,70,49,0,21,5290,4632,1503,1.14
Spirit,Last 12 Months,https://www.hltv.org/stats/teams/7020/spirit?startDate=all&csVersion=CS2,146,100,0,46,11225,10066,3223,1.12
Nouns,Last Month,https://www.hltv.org/stats/teams/11948/nouns?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Nouns,Last 3 Months,https://www.hltv.org/stats/teams/11948/nouns?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Nouns,Last 6 Months,https://www.hltv.org/stats/teams/11948/nouns?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Nouns,Last 12 Months,https://www.hltv.org/stats/teams/11948/nouns?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
G2,Last Month,https://www.hltv.org/stats/teams/5995/g2?startDate=all&csVersion=CS2,14,7,0,7,1008,943,299,1.07
G2,Last 3 Months,https://www.hltv.org/stats/teams/5995/g2?startDate=all&csVersion=CS2,69,40,0,29,5082,4564,1463,1.11
G2,Last 6 Months,https://www.hltv.org/stats/teams/5995/g2?startDate=all&csVersion=CS2,113,62,0,51,8217,7728,2427,1.06
G2,Last 12 Months,https://www.hltv.org/stats/teams/5995/g2?startDate=all&csVersion=CS2,200,108,0,92,14624,13805,4317,1.06
Natus Vincere,Last Month,https://www.hltv.org/stats/teams/4608/natus-vincere?startDate=all&csVersion=CS2,16,12,0,4,1168,1020,336,1.15
Natus Vincere,Last 3 Months,https://www.hltv.org/stats/teams/4608/natus-vincere?startDate=all&csVersion=CS2,74,47,0,27,5323,4885,1542,1.09
Natus Vincere,Last 6 Months,https://www.hltv.org/stats/teams/4608/natus-vincere?startDate=all&csVersion=CS2,110,64,0,46,7923,7492,2333,1.06
Natus Vincere,Last 12 Months,https://www.hltv.org/stats/teams/4608/natus-vincere?startDate=all&csVersion=CS2,200,116,0,84,14488,13799,4288,1.05
TYLOO,Last Month,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,30,19,0,11,2138,2107,640,1.01
TYLOO,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,84,58,0,26,6140,5499,1747,1.12
TYLOO,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,90,64,0,26,6677,5943,1894,1.12
TYLOO,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,167,98,0,69,12319,11747,3602,1.05
9z,Last Month,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,21,12,0,9,1622,1563,492,1.04
