Player,Total Kills,Headshot %,Rounds played,Profile URL
donk,9021,60.8%,9728,https://www.hltv.org/stats/players/21167/donk?csVersion=CS2
ZywOo,8368,42.8%,9842,https://www.hltv.org/stats/players/11893/zywoo?csVersion=CS2
m0NESY,8387,40.7%,10353,https://www.hltv.org/stats/players/19230/m0nesy?csVersion=CS2
kyousuke,7487,58.2%,8985,https://www.hltv.org/stats/players/24177/kyousuke?csVersion=CS2
kl1m,3934,42.9%,4717,https://www.hltv.org/stats/players/23192/kl1m?csVersion=CS2
Luken,4715,60.1%,6025,https://www.hltv.org/stats/players/15914/luken?csVersion=CS2
blameF,9978,45.9%,12847,https://www.hltv.org/stats/players/15165/blamef?csVersion=CS2
asap,6620,51.8%,8736,https://www.hltv.org/stats/players/18545/asap?csVersion=CS2
JamYoung,6638,60.4%,8877,https://www.hltv.org/stats/players/19645/jamyoung?csVersion=CS2
slaxejezzz,5359,54.2%,6968,https://www.hltv.org/stats/players/24807/slaxejezzz?csVersion=CS2
insani,8768,55.3%,11641,https://www.hltv.org/stats/players/21037/insani?csVersion=CS2
KSCERATO,8171,51.9%,11362,https://www.hltv.org/stats/players/15631/kscerato?csVersion=CS2
nettik,4799,57.4%,6430,https://www.hltv.org/stats/players/18214/nettik?csVersion=CS2
deko,8461,41.7%,10683,https://www.hltv.org/stats/players/20113/deko?csVersion=CS2
ADDICT,5254,57.8%,7153,https://www.hltv.org/stats/players/20086/addict?csVersion=CS2
sh1ro,6544,34.2%,8472,https://www.hltv.org/stats/players/16920/sh1ro?csVersion=CS2
MaSvAl,8204,58.2%,11404,https://www.hltv.org/stats/players/19874/masval?csVersion=CS2
latto,9086,54.3%,12525,https://www.hltv.org/stats/players/19045/latto?csVersion=CS2
HexT,9165,53.9%,12693,https://www.hltv.org/stats/players/18838/hext?csVersion=CS2
qqGOD,3216,50.6%,4374,https://www.hltv.org/stats/players/22441/qqgod?csVersion=CS2
try,7077,36.6%,9145,https://www.hltv.org/stats/players/19869/try?csVersion=CS2
vsm,7597,61.3%,10069,https://www.hltv.org/stats/players/16816/vsm?csVersion=CS2
junior,10317,34.9%,13471,https://www.hltv.org/stats/players/14494/junior?csVersion=CS2
h4rn,3342,35.5%,4341,https://www.hltv.org/stats/players/20097/h4rn?csVersion=CS2
BiBiAhn,3410,49.6%,4476,https://www.hltv.org/stats/players/18641/bibiahn?csVersion=CS2
tomaszin,10668,52.9%,14309,https://www.hltv.org/stats/players/22570/tomaszin?csVersion=CS2
molodoy,6858,34.1%,8826,https://www.hltv.org/stats/players/24144/molodoy?csVersion=CS2
Jeorge,9422,52.9%,12989,https://www.hltv.org/stats/players/20333/jeorge?csVersion=CS2
XANTARES,8070,55.5%,10752,https://www.hltv.org/stats/players/7938/xantares?csVersion=CS2
nilo,8903,56.9%,11563,https://www.hltv.org/stats/players/20119/nilo?csVersion=CS2
Ph1NNN,3532,53.3%,4750,https://www.hltv.org/stats/players/23429/ph1nnn?csVersion=CS2
Magnojez,10615,54.3%,14239,https://www.hltv.org/stats/players/21667/magnojez?csVersion=CS2
npl,11361,56.9%,15234,https://www.hltv.org/stats/players/21708/npl?csVersion=CS2
HeavyGod,7128,56.2%,9976,https://www.hltv.org/stats/players/20447/heavygod?csVersion=CS2
Wolffe,5913,58.4%,8012,https://www.hltv.org/stats/players/17622/wolffe?csVersion=CS2
Lake,7639,51.6%,10144,https://www.hltv.org/stats/players/22921/lake?csVersion=CS2
cairne,7120,53.2%,9497,https://www.hltv.org/stats/players/24283/cairne?csVersion=CS2
gr1ks,11694,33.8%,15163,https://www.hltv.org/stats/players/22884/gr1ks?csVersion=CS2
frozen,8076,51.6%,11272,https://www.hltv.org/stats/players/9960/frozen?csVersion=CS2
piriajr,8801,54.4%,11673,https://www.hltv.org/stats/players/18714/piriajr?csVersion=CS2
xelex,4809,63.8%,6366,https://www.hltv.org/stats/players/24457/xelex?csVersion=CS2
Fawx,3848,36.4%,4898,https://www.hltv.org/stats/players/23391/fawx?csVersion=CS2
NiKo,7847,55.1%,10854,https://www.hltv.org/stats/players/3741/niko?csVersion=CS2
