Team,Map,Timeframe,Profile URL,Times played,Wins,Draws,Losses,Total rounds played,Rounds won,Win percent,Pistol rounds,Pistol rounds won,Pistol round win percent,CT round win percent,T round win percent,Pick percent,Ban percent
M80,Ancient,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,6,2,0,4,119,56,33.3%,12,5,41.7%,55.6%,34.0%,0.0%,21.4%
M80,Ancient,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,9,3,0,6,178,82,33.3%,18,8,44.4%,56.6%,32.9%,16.7%,29.0%
M80,Ancient,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,17,8,0,9,339,174,47.1%,34,20,58.8%,57.5%,44.8%,21.4%,17.2%
M80,Ancient,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,41,27,0,14,837,477,65.9%,82,45,54.9%,59.6%,54.4%,30.0%,13.1%
M80,Anubis,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,1,1,0,0,30,16,100.0%,2,1,50.0%,53.3%,53.3%,20.0%,33.3%
M80,Anubis,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,4,2,0,2,98,48,50.0%,8,2,25.0%,55.3%,43.1%,6.7%,20.7%
M80,Anubis,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,7,4,0,3,153,77,57.1%,14,6,42.9%,53.0%,47.1%,16.0%,20.5%
M80,Anubis,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,10,6,0,4,206,112,60.0%,20,11,55.0%,53.9%,54.8%,13.3%,21.1%
M80,Dust2,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,2,2,0,0,35,26,100.0%,4,4,100.0%,66.7%,90.9%,0.0%,33.3%
M80,Dust2,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,10,6,0,4,197,115,60.0%,20,13,65.0%,58.5%,58.2%,0.0%,29.0%
M80,Dust2,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,18,12,0,6,353,213,66.7%,36,23,63.9%,61.2%,59.0%,3.3%,20.6%
M80,Dust2,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,40,23,0,17,787,440,57.5%,80,45,56.2%,59.2%,51.5%,9.0%,18.5%
M80,Inferno,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,7,3,0,4,182,87,42.9%,14,5,35.7%,52.9%,43.2%,83.3%,0.0%
M80,Inferno,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,16,10,0,6,358,189,62.5%,32,16,50.0%,51.6%,53.7%,76.5%,0.0%
M80,Inferno,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,24,14,0,10,523,275,58.3%,48,28,58.3%,49.8%,55.0%,46.4%,6.7%
M80,Inferno,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,41,25,0,16,852,460,61.0%,82,45,54.9%,56.0%,51.9%,26.6%,12.4%
M80,Mirage,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,6,4,0,2,123,61,66.7%,12,4,33.3%,56.7%,42.9%,22.2%,13.3%
M80,Mirage,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,12,9,0,3,246,136,75.0%,24,8,33.3%,61.4%,48.7%,22.2%,9.4%
M80,Mirage,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,29,20,0,9,621,332,69.0%,58,26,44.8%,55.9%,51.1%,47.1%,7.7%
M80,Mirage,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,56,43,0,13,1151,671,76.8%,112,63,56.2%,60.8%,56.0%,40.9%,6.9%
M80,Nuke,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,100.0%
M80,Nuke,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,100.0%
M80,Nuke,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,100.0%
M80,Nuke,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,98.1%
M80,Overpass,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,1,0,0,1,16,3,0.0%,2,0,0.0%,0.0%,25.0%,14.3%,0.0%
M80,Overpass,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,4,3,0,1,73,42,75.0%,8,2,25.0%,62.5%,51.5%,7.7%,19.4%
M80,Overpass,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,7,4,0,3,137,69,57.1%,14,5,35.7%,54.4%,46.4%,6.7%,25.8%
M80,Overpass,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,28,19,0,9,543,312,67.9%,56,27,48.2%,58.6%,56.7%,31.4%,22.7%
M80,Train,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
M80,Train,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
M80,Train,Last 6 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,5,4,0,1,105,64,80.0%,10,5,50.0%,68.9%,50.0%,0.0%,0.0%
M80,Train,Last 12 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,18,12,0,6,379,214,66.7%,36,19,52.8%,63.4%,47.6%,0.0%,22.4%
M80,Vertigo,Last Month,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
M80,Vertigo,Last 3 Months,https://www.hltv.org/stats/teams/12376/m80?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
