Player,Total Kills,Total Headshots,Kills per Round,Headshots per Round,Rounds played
donk,9021,5484.767999999999,0.9273231907894737,0.5638124999999999,9728
ZywOo,8368,3581.5039999999995,0.8502336923389555,0.3639000203210729,9842
m0NESY,8387,3413.509,0.8101033516855017,0.32971206413599924,10353
kyousuke,7487,4357.434,0.8332776850306066,0.484967612687813,8985
kl1m,3934,1687.6860000000001,0.8340046639813441,0.3577880008479966,4717
Luken,4715,2833.715,0.7825726141078838,0.4703261410788382,6025
blameF,9978,4579.902,0.7766793804000934,0.3564958356036429,12847
asap,6620,3429.16,0.7577838827838828,0.39253205128205126,8736
JamYoung,6638,4009.3520000000003,0.7477751492621381,0.45165619015433145,8877
slaxejezzz,5359,2904.578,0.7690872560275546,0.41684529276693455,6968
insani,8768,4848.704,0.7531998969160725,0.41651954299458804,11641
KSCERATO,8171,4240.749,0.7191515578243267,0.3732396585108255,11362
nettik,4799,2754.6259999999997,0.7463452566096423,0.42840217729393465,6430
deko,8461,3528.237,0.7920059908265469,0.33026649817467,10683
ADDICT,5254,3036.812,0.7345169858800503,0.4245508178386691,7153
sh1ro,6544,2238.0480000000002,0.7724268177525968,0.2641699716713881,8472
MaSvAl,8204,4774.728,0.7193967029112592,0.41868888109435287,11404
latto,9086,4933.698,0.7254291417165669,0.39390802395209584,12525
HexT,9165,4939.935,0.722051524462302,0.3891857716851808,12693
qqGOD,3216,1627.296,0.7352537722908093,0.3720384087791495,4374
try,7077,2590.1820000000002,0.7738655002733734,0.2832347731000547,9145
vsm,7597,4656.960999999999,0.7544939914589334,0.4625048167643261,10069
junior,10317,3600.633,0.765867418899859,0.26728772919605076,13471
h4rn,3342,1186.41,0.7698686938493434,0.27330338631651696,4341
BiBiAhn,3410,1691.36,0.7618409294012511,0.3778731009830205,4476
tomaszin,10668,5643.371999999999,0.7455447620378782,0.39439317911803756,14309
molodoy,6858,2338.578,0.7770224337185588,0.26496464989802854,8826
Jeorge,9422,4984.238,0.725383016398491,0.3837276156748018,12989
XANTARES,8070,4478.85,0.7505580357142857,0.4165597098214286,10752
nilo,8903,5065.807,0.769955893799187,0.4381049035717374,11563
Ph1NNN,3532,1882.5559999999998,0.743578947368421,0.39632757894736836,4750
Magnojez,10615,5763.945,0.7454877449259077,0.4047998454947679,14239
npl,11361,6464.409000000001,0.7457660496258369,0.42434088223710126,15234
HeavyGod,7128,4005.936,0.714514835605453,0.40155733761026463,9976
Wolffe,5913,3453.192,0.7380179730404394,0.4310024962556166,8012
Lake,7639,3941.724,0.7530559936908517,0.3885768927444795,10144
cairne,7120,3787.84,0.7497104348741708,0.3988459513530589,9497
gr1ks,11694,3952.5719999999997,0.7712194156829123,0.26067216250082437,15163
frozen,8076,4167.216,0.7164655784244145,0.3696962384669979,11272
piriajr,8801,4787.744,0.7539621348410863,0.4101554013535509,11673
xelex,4809,3068.1420000000003,0.7554194156456173,0.4819575871819039,6366
Fawx,3848,1400.6719999999998,0.7856267864434463,0.2859681502654144,4898
NiKo,7847,4323.697,0.7229592776856458,0.39835056200479085,10854
Zucar,3697,1996.38,0.7303437376531016,0.3943856183326749,5062
